match_id,round,group_sign,home_team_name,away_team_name,home_score,away_score,attendance,start_datetime,home_ballPossession,home_expectedGoals,home_totalShotsOnGoal,home_shotsOnGoal,home_bigChanceCreated,home_bigChanceScored,home_cornerKicks,home_fouls,home_yellowCards,home_redCards,home_passes,home_accuratePasses,home_totalTackle,home_interceptionWon,home_ballRecovery,home_totalClearance,home_goalkeeperSaves,home_goalsPrevented,home_duelWonPercent,home_dribblesPercentage,home_touchesInOppBox,home_accurateCross,home_accurateLongBalls,home_wonTacklePercent,away_ballPossession,away_expectedGoals,away_totalShotsOnGoal,away_shotsOnGoal,away_bigChanceCreated,away_bigChanceScored,away_cornerKicks,away_fouls,away_yellowCards,away_redCards,away_passes,away_accuratePasses,away_totalTackle,away_interceptionWon,away_ballRecovery,away_totalClearance,away_goalkeeperSaves,away_goalsPrevented,away_duelWonPercent,away_dribblesPercentage,away_touchesInOppBox,away_accurateCross,away_accurateLongBalls,away_wonTacklePercent,diff_ballPossession,diff_expectedGoals,diff_totalShotsOnGoal,diff_shotsOnGoal,diff_bigChanceCreated,diff_bigChanceScored,diff_cornerKicks,diff_fouls,diff_yellowCards,diff_redCards,diff_passes,diff_accuratePasses,diff_totalTackle,diff_interceptionWon,diff_ballRecovery,diff_totalClearance,diff_goalkeeperSaves,diff_goalsPrevented,diff_duelWonPercent,diff_dribblesPercentage,diff_touchesInOppBox,diff_accurateCross,diff_accurateLongBalls,diff_wonTacklePercent,home_win,draw,away_win,result_1x2,over_2_5,btts,total_goals,goal_difference
15186710,1,A,Mexico,South Africa,2,0,80824,2026-06-11T19:00:00,61,1.46,16,4,2.0,2.0,3,12,1.0,1.0,520,467,12,8,40,15,2,0.1287,59,9,20,4,31,6,39,0.07,3,2,0.0,0.0,1,11,2.0,2.0,334,272,14,7,44,17,2,-0.7215,41,1,2,1,17,7,22,1.39,13,2,2.0,2.0,2,1,-1.0,-1.0,186,195,-2,1,-4,-2,0,0.8502000000000001,18,8,18,3,14,-1,1,0,0,H,False,False,2,2
15186720,1,A,South Korea,Czechia,2,1,44985,2026-06-12T02:00:00,62,2.3,15,6,4.0,2.0,4,9,1.0,,541,469,7,9,36,32,3,1.0699,60,8,24,3,30,4,38,0.83,7,4,1.0,1.0,5,16,0.0,,327,230,9,6,46,21,4,0.0618,40,4,12,3,23,7,24,1.4699999999999998,8,2,3.0,1.0,-1,-7,1.0,,214,239,-2,3,-10,11,-1,1.0081,20,4,12,0,7,-3,1,0,0,H,True,True,3,1
15186836,1,B,Canada,Bosnia & Herzegovina,1,1,43002,2026-06-12T19:00:00,61,1.23,13,4,2.0,0.0,9,10,2.0,,421,310,23,4,51,21,2,0.0024999999999999,47,7,37,5,18,15,39,0.96,8,3,2.0,1.0,4,20,3.0,,271,172,20,11,53,70,1,-0.2473,53,6,15,6,17,12,22,0.27,5,1,0.0,-1.0,5,-10,-1.0,,150,138,3,-7,-2,-49,1,0.24979999999999988,-6,1,22,-1,1,3,0,1,0,D,False,True,2,0
15186873,1,D,USA,Paraguay,4,1,70492,2026-06-13T01:00:00,65,1.42,16,6,4.0,2.0,3,13,1.0,,598,509,9,9,45,15,1,-0.5832,54,22,53,3,26,7,35,0.54,9,1,1.0,1.0,1,17,5.0,,319,232,21,10,40,33,3,-1.4577,46,6,11,1,20,16,30,0.8799999999999999,7,5,3.0,1.0,2,-4,-4.0,,279,277,-12,-1,5,-18,-2,0.8744999999999999,8,16,42,2,6,-9,1,0,0,H,True,True,5,3
15186526,1,B,Qatar,Switzerland,1,1,67966,2026-06-13T19:00:00,32,0.6,6,3,1.0,1.0,3,12,2.0,,278,200,14,11,36,31,5,0.7835,49,2,8,1,19,9,68,3.2,26,7,6.0,1.0,10,11,1.0,,576,527,8,7,50,13,3,-0.5358,51,7,42,6,27,6,-36,-2.6,-20,-4,-5.0,0.0,-7,1,1.0,,-298,-327,6,4,-14,18,2,1.3193000000000001,-2,-5,-34,-5,-8,3,0,1,0,D,False,True,2,0
15186850,1,C,Brazil,Morocco,1,1,80663,2026-06-13T22:00:00,51,1.26,12,5,1.0,0.0,6,16,2.0,,514,449,23,5,46,23,2,-0.2586,46,5,22,4,18,13,49,1.37,14,3,2.0,1.0,2,14,0.0,,486,419,26,5,52,17,4,0.376,54,16,13,2,17,18,2,-0.1100000000000001,-2,2,-1.0,-1.0,4,2,2.0,,28,30,-3,0,-6,6,-2,-0.6346,-8,-11,9,2,1,-5,0,1,0,D,False,True,2,0
15186853,1,C,Haiti,Scotland,0,1,64146,2026-06-14T01:00:00,54,1.05,15,2,1.0,,4,23,1.0,,431,368,12,6,42,20,1,0.1834,47,6,22,5,27,7,46,1.05,9,2,2.0,,3,21,3.0,,374,307,12,6,27,17,2,0.223,53,5,21,5,30,5,8,0.0,6,0,-1.0,,1,2,-2.0,,57,61,0,0,15,3,-1,-0.039599999999999996,-6,1,1,0,-3,2,0,0,1,A,False,False,1,-1
15186874,1,D,Australia,Türkiye,2,0,52497,2026-06-14T04:00:00,28,1.18,9,4,1.0,1.0,5,12,0.0,,271,201,15,7,35,55,8,1.4558,48,8,18,4,16,5,72,1.36,30,8,2.0,0.0,8,4,1.0,,704,635,12,4,36,29,2,-0.9215,52,5,51,2,19,8,-44,-0.18000000000000016,-21,-4,-1.0,1.0,-3,8,-1.0,,-433,-434,3,3,-1,26,6,2.3773,-4,3,-33,2,-3,-3,1,0,0,H,False,False,2,2
15186899,1,E,Germany,Curaçao,7,1,68021,2026-06-14T17:00:00,65,4.22,26,12,6.0,4.0,8,18,,,637,554,19,12,52,8,1,-0.4989,48,9,63,5,12,13,35,0.41,8,2,0.0,0.0,1,11,,,343,282,16,16,48,25,4,-1.7627,52,12,10,2,17,8,30,3.8099999999999996,18,10,6.0,4.0,7,7,,,294,272,3,-4,4,-17,-3,1.2637999999999998,-4,-3,53,3,-5,5,1,0,0,H,True,True,8,6
15186945,1,F,Netherlands,Japan,2,2,69285,2026-06-14T20:00:00,60,0.78,10,6,,,5,7,3.0,,524,463,11,7,26,23,1,-0.6757,62,8,33,8,16,5,40,0.59,10,3,,,4,7,0.0,,341,286,11,4,26,32,4,0.1613,38,3,19,6,13,10,20,0.19000000000000006,0,3,,,1,0,3.0,,183,177,0,3,0,-9,-3,-0.837,24,5,14,2,3,-5,0,1,0,D,True,True,4,0
