player_id,player_name,player_short_name,position,shirt_number,matches_played,total_minutes,substitute_appearances,starts,minutes_per_match,goals_per_90,expectedGoals_per_90,expectedAssists_per_90,totalShots_per_90,onTargetScoringAttempt_per_90,keyPass_per_90,bigChanceCreated_per_90,totalTackle_per_90,interceptionWon_per_90,ballRecovery_per_90,totalClearance_per_90,fouls_per_90,wasFouled_per_90,duelWon_per_90,aerialWon_per_90,saves_per_90,goalsPrevented_per_90,keeperSaveValue_per_90,weighted_rating
750,Cristiano Ronaldo,C. Ronaldo,F,7,5,441.0,0,5,88.2,0.6122448979591837,0.672530612244898,0.02822169591836735,3.6734693877551017,1.8367346938775508,0.20408163265306123,0.0,0.40816326530612246,0.20408163265306123,1.2244897959183674,0.40816326530612246,0.40816326530612246,1.0204081632653061,2.0408163265306123,0.6122448979591837,0.0,0.0,0.0,7.018367346938775
8959,Manuel Neuer,M. Neuer,G,1,4,390.0,0,4,97.5,0.0,0.0,0.0008283761538461538,0.0,0.0,0.0,0.0,0.0,0.0,9.923076923076923,0.6923076923076923,0.0,0.46153846153846156,0.46153846153846156,0.0,1.1538461538461537,-0.29598461538461535,0.26469230769230767,7.0
9370,Craig Gordon,C. Gordon,G,21,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
12994,Lionel Messi,L. Messi,F,10,5,410.0,1,4,82.0,1.7560975609756098,1.0975170731707318,0.5351248536585366,6.365853658536585,3.731707317073171,3.5121951219512195,1.3170731707317074,1.3170731707317074,0.0,2.4146341463414633,0.21951219512195122,0.43902439024390244,2.8536585365853657,6.365853658536585,0.0,0.0,0.0,0.0,9.378048780487806
14990,Edin Džeko,E. Džeko,F,11,4,179.0,1,3,44.75,0.0,0.11478770949720671,0.09969224581005585,1.5083798882681565,0.0,0.5027932960893855,0.0,0.0,0.5027932960893855,1.5083798882681565,2.011173184357542,0.5027932960893855,1.005586592178771,3.016759776536313,2.011173184357542,0.0,0.0,0.0,6.571508379888268
15466,Luka Modrić,L. Modrić,M,10,4,319.0,0,4,79.75,0.0,0.005304075235109718,0.20032866959247647,0.28213166144200624,0.0,1.974921630094044,0.28213166144200624,1.974921630094044,0.5642633228840125,4.231974921630094,1.128526645768025,1.128526645768025,0.8463949843260189,3.103448275862069,0.0,0.0,0.0,0.0,7.117241379310345
15497,Guillermo Ochoa,G. Ochoa,G,13,5,12.0,5,0,2.4,0.0,0.0,0.002404575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
21927,Marko Arnautović,M. Arnautović,F,7,4,142.0,3,1,35.5,1.267605633802817,1.186288732394366,0.05129999366197182,1.9014084507042253,1.9014084507042253,1.267605633802817,0.0,1.267605633802817,0.0,1.267605633802817,0.0,1.9014084507042253,0.6338028169014085,2.535211267605634,0.6338028169014085,0.0,0.0,0.0,6.975352112676056
22209,Ørjan Nyland,Ø. Nyland,G,1,5,360.0,1,4,72.0,0.0,0.0,0.0033460800000000004,0.0,0.0,0.0,0.0,0.0,0.25,7.0,2.0,0.0,0.0,0.25,0.25,2.5,0.025900000000000006,0.49772500000000003,7.25
22596,Kristoffer Nordfeldt,K. Nordfeldt,G,23,4,180.0,2,2,45.0,0.0,0.0,0.0008010600000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,1.5,-0.7282499999999998,0.0033,5.95
28381,Fernando Muslera,F. Muslera,G,23,3,225.0,0,3,75.0,0.0,0.0,0.0005027,0.0,0.0,0.0,0.0,0.0,0.0,7.6000000000000005,0.8,0.0,0.0,0.0,0.0,1.6,-0.7564000000000001,0.16255999999999998,5.84
31857,Kosta Barbarouses,K. Barbarouses,F,17,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
33596,David Ospina,D. Ospina,G,1,5,0.0,5,0,0.0,,,,,,,,,,,,,,,,,,,
34639,Yuto Nagatomo,Y. Nagatomo,D,5,4,15.0,4,0,3.75,0.0,0.0,0.03635088,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.9
35612,Axel Witsel,A. Witsel,M,6,5,1.0,5,0,0.2,0.0,0.0,0.0357606,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37224,Johny Placide,J. Placide,G,1,3,270.0,0,3,90.0,0.0,0.0,0.0018709133333333332,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,3.666666666666667,-0.2200333333333333,0.5175333333333333,6.8
37318,Ante Budimir,A. Budimir,F,11,4,156.0,2,2,39.0,0.5769230769230769,0.5567884615384616,0.003661003846153846,1.7307692307692308,0.5769230769230769,0.0,0.0,0.5769230769230769,0.0,2.3076923076923075,0.5769230769230769,3.4615384615384617,2.3076923076923075,8.076923076923077,4.615384615384615,0.0,0.0,0.0,6.605769230769231
38111,Tommy Smith,T. Smith,D,26,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
38624,Michael Boxall,M. Boxall,D,5,3,206.0,1,2,68.66666666666667,0.0,0.0,0.01750387718446602,0.0,0.0,0.0,0.0,0.4368932038834951,0.8737864077669902,1.7475728155339805,6.5533980582524265,0.8737864077669902,0.8737864077669902,2.1844660194174756,0.8737864077669902,0.0,0.0,0.0,6.2805825242718445
38710,Ivan Perišić,I. Perišić,D,14,4,360.0,0,4,90.0,0.25,0.057875,0.071032925,0.5,0.5,1.25,0.25,2.0,1.0,3.0,3.5,1.0,0.25,4.0,1.75,0.0,0.0,0.0,6.95
39573,Mert Günok,M. Günok,G,1,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
40244,Oliver Baumann,O. Baumann,G,12,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
40859,Eloy Room,E. Room,G,1,3,270.0,0,3,90.0,0.0,0.0,0.00085461,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,1.3333333333333335,0.0,0.0,0.0,0.0,6.666666666666666,0.1220666666666667,0.8664333333333333,7.2
42694,Jordan Henderson,J. Henderson,M,14,5,12.0,5,0,2.4,0.0,0.0,0.028827975000000002,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.5,0.0,7.5,15.0,0.0,0.0,0.0,0.0,6.8
46387,Gaël Kakuta,G. Kakuta,M,11,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
48480,Pascal Groß,P. Groß,M,13,4,17.0,4,0,4.25,0.0,0.08629411764705881,0.2687569411764706,5.294117647058823,0.0,5.294117647058823,0.0,10.588235294117647,0.0,5.294117647058823,0.0,5.294117647058823,0.0,10.588235294117647,0.0,0.0,0.0,0.0,6.4
50480,Chris Wood,C. Wood,F,9,3,270.0,0,3,90.0,0.0,0.09286666666666668,0.06393343333333333,1.6666666666666665,0.6666666666666667,2.3333333333333335,0.6666666666666667,0.33333333333333337,0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,4.666666666666667,4.0,0.0,0.0,0.0,6.533333333333333
52797,Ryan Mendes,R. Mendes,M,20,4,331.0,0,4,82.75,0.0,0.06903625377643505,0.027039121450151058,1.6314199395770395,0.0,0.8157099697885197,0.0,1.3595166163141994,1.0876132930513596,4.078549848942598,2.175226586102719,0.2719033232628399,0.5438066465256798,4.350453172205438,1.0876132930513596,0.0,0.0,0.0,6.745921450151058
59609,Stopira,Stopira,D,2,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
66492,David Alaba,D. Alaba,D,8,4,278.0,0,4,69.5,0.0,0.012820143884892084,0.13220641942446043,0.6474820143884893,0.0,0.32374100719424465,0.32374100719424465,0.6474820143884893,1.2949640287769786,1.618705035971223,2.589928057553957,0.6474820143884893,0.0,1.9424460431654678,0.9712230215827339,0.0,0.0,0.0,7.042805755395684
67647,Andrej Kramarić,A. Kramarić,F,9,4,70.0,4,0,17.5,0.0,0.009385714285714285,0.013024954285714286,1.2857142857142856,0.0,0.0,0.0,1.2857142857142856,0.0,3.857142857142857,1.2857142857142856,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,6.564285714285714
67769,Ricardo Rodríguez,R. Rodríguez,D,13,5,430.0,0,5,86.0,0.0,0.00313953488372093,0.2248689976744186,0.20930232558139533,0.0,0.8372093023255813,0.41860465116279066,1.8837209302325582,0.8372093023255813,4.395348837209302,2.7209302325581395,1.8837209302325582,0.20930232558139533,4.186046511627907,2.0930232558139537,0.0,0.0,0.0,7.020697674418605
70988,Thibaut Courtois,T. Courtois,G,1,5,480.0,0,5,96.0,0.0,0.0,0.003198028125,0.0,0.0,0.0,0.0,0.0,0.0,8.625,1.5,0.0,0.0,0.375,0.375,1.875,-0.22918125000000003,0.2839125,6.85625
70996,Kevin De Bruyne,K. De Bruyne,M,7,5,301.0,1,4,60.2,0.29900332225913623,0.3440631229235881,0.24888124584717608,5.382059800664452,1.196013289036545,2.990033222591362,0.0,0.5980066445182725,0.0,2.990033222591362,0.0,0.0,0.8970099667774086,4.485049833887043,0.8970099667774086,0.0,0.0,0.0,7.366445182724253
74545,Leandro Bacuna,L. Bacuna,M,10,3,270.0,0,3,90.0,0.0,0.12813333333333332,0.02469223666666667,2.0,0.33333333333333337,1.3333333333333335,0.0,2.0,0.0,3.666666666666667,2.666666666666667,1.0,1.0,5.333333333333334,1.3333333333333335,0.0,0.0,0.0,6.633333333333334
74915,Nicolás Otamendi,N. Otamendi,D,19,5,134.0,4,1,26.8,0.0,0.025723880597014925,0.006495259701492537,0.6716417910447761,0.0,0.0,0.0,2.014925373134328,2.6865671641791042,2.014925373134328,6.044776119402985,2.014925373134328,0.0,3.3582089552238803,1.3432835820895521,0.0,0.0,0.0,6.79179104477612
75756,Kenny McLean,K. McLean,M,23,3,124.0,2,1,41.333333333333336,0.0,0.014008064516129033,0.049806762096774204,0.7258064516129032,0.0,0.7258064516129032,0.0,2.1774193548387095,1.4516129032258065,2.1774193548387095,0.7258064516129032,0.7258064516129032,0.7258064516129032,2.903225806451613,0.0,0.0,0.0,0.0,6.39758064516129
78893,Romelu Lukaku,R. Lukaku,F,9,5,206.0,4,1,41.2,1.3106796116504855,0.44226699029126215,0.11335300339805825,2.621359223300971,1.3106796116504855,1.3106796116504855,0.0,0.0,0.0,1.3106796116504855,0.8737864077669902,0.4368932038834951,0.0,3.058252427184466,2.1844660194174756,0.0,0.0,0.0,6.781553398058253
83951,Alberto Quintero,A. Quintero,F,19,3,8.0,3,0,2.6666666666666665,0.0,0.0,0.0180653625,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.4
84854,Alex Sandro,A. Sandro,D,6,5,8.0,5,0,1.6,0.0,0.0,0.042770924999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.6
93953,Hassan Al Haydos,H. A. Haydos,F,10,3,66.0,2,1,22.0,1.3636363636363638,0.44549999999999995,0.030991090909090913,1.3636363636363638,1.3636363636363638,1.3636363636363638,0.0,0.0,0.0,1.3636363636363638,1.3636363636363638,1.3636363636363638,1.3636363636363638,2.7272727272727275,0.0,0.0,0.0,0.0,7.348484848484849
95791,Grant Hanley,G. Hanley,D,5,3,180.0,1,2,60.0,0.0,0.0,0.020196850000000002,0.0,0.0,0.0,0.0,0.5,0.5,2.0,4.0,0.5,0.0,2.5,2.0,0.0,0.0,0.0,7.3
