match_id,season_id,season_name,round,group_name,group_sign,status_code,status_description,winner_code,home_team_id,home_team_name,home_team_code,home_score,home_score_p1,home_score_p2,away_team_id,away_team_name,away_team_code,away_score,away_score_p1,away_score_p2,start_timestamp,start_datetime,injury_time_1,injury_time_2,has_xg,has_player_stats,has_heatmaps,attendance,venue_name,venue_city,venue_country,venue_capacity,referee_name,referee_country,home_manager,away_manager
15186710,58210,World Cup 2026,1,Group A,A,100,Ended,1,4781,Mexico,MEX,2,1,1,4736,South Africa,RSA,0,0,0,1781204400,2026-06-11T19:00:00,4,7,True,True,True,80824,Estadio Azteca,Mexico City,Mexico,87523,Wilton Pereira Sampaio,Brazil,Javier Aguirre,Hugo Broos
15186720,58210,World Cup 2026,1,Group A,A,100,Ended,1,4735,South Korea,KOR,2,0,2,4714,Czechia,CZE,1,0,1,1781229600,2026-06-12T02:00:00,3,6,True,True,True,44985,Estadio Akron,Guadalajara,Mexico,46355,Amin Mohamed Omar,Egypt,Myung Bo Hong,Miroslav Koubek
15186836,58210,World Cup 2026,1,Group B,B,100,Ended,3,4752,Canada,CAN,1,0,1,4479,Bosnia & Herzegovina,BIH,1,1,0,1781290800,2026-06-12T19:00:00,4,6,True,True,True,43002,BMO Field,Toronto,Canada,45700,Facundo Raul Tello Figueroa,Argentina,Jesse Marsch,Sergej Barbarez
15186873,58210,World Cup 2026,1,Group D,D,100,Ended,1,4724,USA,USA,4,3,1,4789,Paraguay,PAR,1,0,1,1781312400,2026-06-13T01:00:00,5,7,True,True,True,70492,SoFi Stadium,Inglewood,USA,70242,Danny Makkelie,Netherlands,Mauricio Pochettino,Gustavo Alfaro
15186526,58210,World Cup 2026,1,Group B,B,100,Ended,3,4792,Qatar,QAT,1,0,1,4699,Switzerland,SUI,1,1,0,1781377200,2026-06-13T19:00:00,6,6,True,True,True,67966,Levi's Stadium,Santa Clara,USA,68500,Said Martinez,Honduras,Julen Lopetegui,Murat Yakin
15186850,58210,World Cup 2026,1,Group C,C,100,Ended,3,4748,Brazil,BRA,1,1,0,4778,Morocco,MAR,1,1,0,1781388000,2026-06-13T22:00:00,4,10,True,True,True,80663,MetLife Stadium,East Rutherford,USA,82500,Slavko Vinčić,Slovenia,Carlo Ancelotti,Mohamed Ouahbi
15186853,58210,World Cup 2026,1,Group C,C,100,Ended,2,7229,Haiti,HAI,0,0,0,4695,Scotland,SCO,1,1,0,1781398800,2026-06-14T01:00:00,4,6,True,True,True,64146,Gillette Stadium,Foxborough,USA,66829,Mustapha Ghorbal,Algeria,Sébastien Migné,Steve Clarke
15186874,58210,World Cup 2026,1,Group D,D,100,Ended,1,4741,Australia,AUS,2,1,1,4700,Türkiye,TUR,0,0,0,1781409600,2026-06-14T04:00:00,4,6,True,True,True,52497,BC Place,Vancouver,Canada,54500,Jesús Valenzuela,Venezuela,Tony Popovic,Vincenzo Montella
15186899,58210,World Cup 2026,1,Group E,E,100,Ended,1,4711,Germany,GER,7,3,4,55827,Curaçao,CUR,1,1,0,1781456400,2026-06-14T17:00:00,4,5,True,True,True,68021,NRG Stadium,Houston,USA,72220,Jalal Jayed,Morocco,,Dick Advocaat
15186945,58210,World Cup 2026,1,Group F,F,100,Ended,3,4705,Netherlands,NED,2,0,2,4770,Japan,JPN,2,0,2,1781467200,2026-06-14T20:00:00,3,6,True,True,True,69285,AT&T Stadium,Arlington,USA,80000,Ismail Elfath,USA,Ronald Koeman,Hajime Moriyasu
15186904,58210,World Cup 2026,1,Group E,E,100,Ended,1,4768,Côte d'Ivoire,CIV,1,0,1,4757,Ecuador,ECU,0,0,0,1781478000,2026-06-14T23:00:00,4,7,True,True,True,68274,Lincoln Financial Field,Philadelphia,USA,69176,François Letexier,France,Emerse Faé,Sebastian Beccacece
15186951,58210,World Cup 2026,1,Group F,F,100,Ended,1,4688,Sweden,SWE,5,2,3,4729,Tunisia,TUN,1,1,0,1781488800,2026-06-15T02:00:00,4,6,True,True,True,50987,Estadio BBVA,Monterrey,Mexico,53500,Yael Falcon Perez,Argentina,Graham Potter,Hervé Renard
