match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186710,Mexico,True,61,91.84,1.46,2.0,16,2,61,3,12,520,12,11,1.0,1.0,4,1,7,5,9,7,2.0,1.0,20,3.0,1.0,467,21,53,83,31,4,59,8,32,15,9,6,8,40,15,0.0,0.0,0.1287,0.0,0.0,0.0,5,,
15186710,South Africa,False,39,85.86,0.07,0.0,3,2,65,1,11,334,14,12,2.0,2.0,2,0,1,0,1,2,0.0,0.0,2,2.0,1.0,272,11,39,25,17,1,41,7,26,7,1,7,7,44,17,1.0,1.0,-0.7215,1.0,2.0,1.0,8,,
15186720,South Korea,True,62,104.16,2.3,4.0,15,3,123,4,9,541,7,16,1.0,,6,0,5,4,10,5,2.0,1.0,24,1.0,2.0,469,26,65,106,30,3,60,3,29,27,8,4,9,36,32,1.0,,1.0699,1.0,,,4,2.0,
15186720,Czechia,False,38,108.3,0.83,1.0,7,4,101,5,16,327,9,9,0.0,,4,0,3,1,5,2,1.0,0.0,12,1.0,2.0,230,16,52,54,23,3,40,4,22,16,4,7,6,46,21,0.0,,0.0618,1.0,,,8,0.0,
15186836,Canada,True,61,89.06,1.23,2.0,13,2,104,9,10,421,23,20,2.0,,4,1,5,4,10,3,0.0,1.0,37,3.0,1.0,310,32,73,104,18,5,47,13,50,21,7,15,4,51,21,0.0,,0.0024999999999999,,0.0,1.0,7,2.0,
15186836,Bosnia & Herzegovina,False,39,96.71,0.96,2.0,8,1,108,4,20,271,20,10,3.0,,3,0,4,1,5,3,1.0,0.0,15,0.0,0.0,172,26,59,35,17,6,53,6,36,43,6,12,11,53,70,2.0,,-0.2473,,3.0,0.0,9,1.0,
15186873,USA,True,65,106.25,1.42,4.0,16,1,97,3,13,598,9,17,1.0,,6,0,6,4,13,3,2.0,2.0,53,4.0,2.0,509,23,77,142,26,3,54,8,47,18,22,7,9,45,15,3.0,,-0.5832,,1.0,,3,2.0,
15186873,Paraguay,False,35,105.19,0.54,1.0,9,3,99,1,17,319,21,13,5.0,,1,0,3,5,4,5,1.0,0.0,11,1.0,1.0,232,17,36,17,20,1,46,5,39,16,6,16,10,40,33,2.0,,-1.4577,,0.0,,7,0.0,
15186526,Qatar,True,32,99.82,0.6,1.0,6,5,67,3,12,278,14,11,2.0,,3,0,3,0,4,2,1.0,0.0,8,0.0,0.0,200,14,39,24,19,1,49,6,26,10,2,9,11,36,31,1.0,,0.7835,1.0,2.0,3.0,12,1.0,
15186526,Switzerland,False,68,99.31,3.2,6.0,26,3,79,10,11,576,8,11,1.0,,7,0,10,9,18,8,1.0,5.0,42,9.0,1.0,527,17,80,199,27,6,51,8,27,10,7,6,7,50,13,1.0,,-0.5358,0.0,0.0,0.0,5,5.0,
